step,loss,eval_loss
50,0.044200,0.037979
100,0.019400,0.018994
150,0.013300,0.014262
200,0.012800,0.012963
250,0.012200,0.011819
300,0.011700,0.011702
350,0.011900,0.010781
400,0.010700,0.011238
450,0.010800,0.010697
500,0.010500,0.010819
550,0.010400,0.010848
600,0.011100,0.010745
650,0.010400,0.010651
700,0.010300,0.010831
750,0.010300,0.010817
800,0.010700,0.010695
850,0.010600,0.010585
900,0.010500,0.010527
950,0.010800,0.010465
1000,0.010600,0.010478
1050,0.011200,0.010495
1100,0.010200,0.010410
1150,0.010200,0.010381
